[1, 'c', [2, 4, 1, 3, 8, 2, 7, 1], 26]
[2, 's', [1, 4, 1, 3, 8, 2, 7, 1], 24]
[3, 's', [3, 4, 1, 3, 8, 2, 7, 1], 24]
[4, 's', [4, 4, 1, 3, 8, 2, 7, 1], 25]
[5, 's', [5, 4, 1, 3, 8, 2, 7, 1], 26]
[6, 's', [6, 4, 1, 3, 8, 2, 7, 1], 26]
[7, 's', [7, 4, 1, 3, 8, 2, 7, 1], 25]
[8, 's', [8, 4, 1, 3, 8, 2, 7, 1], 25]
[9, 's', [2, 1, 1, 3, 8, 2, 7, 1], 22]
[10, 's', [2, 2, 1, 3, 8, 2, 7, 1], 22]
[11, 's', [2, 3, 1, 3, 8, 2, 7, 1], 24]
[12, 's', [2, 5, 1, 3, 8, 2, 7, 1], 24]
[13, 's', [2, 6, 1, 3, 8, 2, 7, 1], 25]
[14, 's', [2, 7, 1, 3, 8, 2, 7, 1], 24]
[15, 's', [2, 8, 1, 3, 8, 2, 7, 1], 25]
[16, 's', [2, 4, 2, 3, 8, 2, 7, 1], 24]
[17, 's', [2, 4, 3, 3, 8, 2, 7, 1], 24]
[18, 's', [2, 4, 4, 3, 8, 2, 7, 1], 24]
[19, 's', [2, 4, 5, 3, 8, 2, 7, 1], 25]
[20, 's', [2, 4, 6, 3, 8, 2, 7, 1], 25]
[21, 's', [2, 4, 7, 3, 8, 2, 7, 1], 26]
[22, 's', [2, 4, 8, 3, 8, 2, 7, 1], 26]
[23, 's', [2, 4, 1, 1, 8, 2, 7, 1], 24]
[24, 's', [2, 4, 1, 2, 8, 2, 7, 1], 22]
[25, 's', [2, 4, 1, 4, 8, 2, 7, 1], 23]
[26, 's', [2, 4, 1, 5, 8, 2, 7, 1], 24]
[27, 's', [2, 4, 1, 6, 8, 2, 7, 1], 25]
[28, 's', [2, 4, 1, 7, 8, 2, 7, 1], 24]
[29, 's', [2, 4, 1, 8, 8, 2, 7, 1], 25]
[30, 's', [2, 4, 1, 3, 1, 2, 7, 1], 22]
[31, 's', [2, 4, 1, 3, 2, 2, 7, 1], 23]
[32, 's', [2, 4, 1, 3, 3, 2, 7, 1], 23]
[33, 's', [2, 4, 1, 3, 4, 2, 7, 1], 23]
[34, 's', [2, 4, 1, 3, 5, 2, 7, 1], 25]
[35, 's', [2, 4, 1, 3, 6, 2, 7, 1], 25]
[36, 's', [2, 4, 1, 3, 7, 2, 7, 1], 24]
[37, 's', [2, 4, 1, 3, 8, 1, 7, 1], 24]
[38, 's', [2, 4, 1, 3, 8, 3, 7, 1], 25]
[39, 's', [2, 4, 1, 3, 8, 4, 7, 1], 25]
[40, 's', [2, 4, 1, 3, 8, 5, 7, 1], 26]
[41, 's', [2, 4, 1, 3, 8, 6, 7, 1], 26]
[42, 's', [2, 4, 1, 3, 8, 7, 7, 1], 24]
[43, 's', [2, 4, 1, 3, 8, 8, 7, 1], 24]
[44, 's', [2, 4, 1, 3, 8, 2, 1, 1], 23]
[45, 's', [2, 4, 1, 3, 8, 2, 2, 1], 23]
[46, 's', [2, 4, 1, 3, 8, 2, 3, 1], 24]
[47, 's', [2, 4, 1, 3, 8, 2, 4, 1], 25]
[48, 's', [2, 4, 1, 3, 8, 2, 5, 1], 25]
[49, 's', [2, 4, 1, 3, 8, 2, 6, 1], 24]
[50, 's', [2, 4, 1, 3, 8, 2, 8, 1], 24]
[51, 's', [2, 4, 1, 3, 8, 2, 7, 2], 25]
[52, 's', [2, 4, 1, 3, 8, 2, 7, 3], 26]
[53, 's', [2, 4, 1, 3, 8, 2, 7, 4], 25]
[54, 's', [2, 4, 1, 3, 8, 2, 7, 5], 26]
[55, 's', [2, 4, 1, 3, 8, 2, 7, 6], 25]
[56, 's', [2, 4, 1, 3, 8, 2, 7, 7], 25]
[57, 's', [2, 4, 1, 3, 8, 2, 7, 8], 25]
